end_time,upper_back,lower_back,left_pelvis,right_pelvis,left_butt,right_butt,left_upper_thigh,right_upper_thigh,left_lower_thigh,right_lower_thigh,overall_rating,total_rating,normalized_rating,zscore_rating,minmax_rating,start_time,break_time,subject
12/30/2024 12:19,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,,0,A212
12/30/2024 12:39,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 12:19,0,A212
12/30/2024 12:59,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 12:39,0,A212
12/30/2024 13:19,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 12:59,0,A212
12/30/2024 13:39,1,1,1,1,2,2,1,1,1,1,2,12,1,2,1,12/30/2024 13:19,0,A212
12/30/2024 13:59,1,1,2,2,1,1,1,1,1,1,2,12,1,2,1,12/30/2024 13:39,0,A212
12/30/2024 14:18,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 13:59,0,A212
12/30/2024 14:24,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 14:18,1,A212
12/30/2024 14:44,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 14:24,0,A212
12/30/2024 15:04,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 14:44,0,A212
12/30/2024 15:24,1,1,1,1,2,2,1,1,1,1,2,12,1,2,1,12/30/2024 15:04,0,A212
12/30/2024 15:44,1,1,1,1,2,2,1,1,1,1,2,12,1,2,1,12/30/2024 15:24,0,A212
12/30/2024 16:04,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 15:44,0,A212
12/30/2024 16:24,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 16:04,0,A212
12/30/2024 16:29,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 16:24,1,A212
12/30/2024 16:49,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 16:29,0,A212
12/30/2024 17:09,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/30/2024 16:49,0,A212
12/30/2024 17:29,1,1,1,1,2,2,1,1,1,1,2,12,1,2,1,12/30/2024 17:09,0,A212
12/30/2024 17:49,1,1,1,1,2,2,1,1,1,1,2,12,1,2,1,12/30/2024 17:29,0,A212
12/30/2024 18:09,1,1,1,1,2,2,1,1,1,1,2,12,1,2,1,12/30/2024 17:49,0,A212
12/30/2024 18:29,1,1,1,1,2,2,1,1,1,1,2,12,1,2,1,12/30/2024 18:09,0,A212
12/30/2024 12:54,1,1,1,1,1,1,1,1,1,1,1,10,0,-0.816,0,,0,A211
12/30/2024 13:15,1,1,1,1,1,1,1,1,1,1,1,10,0,-0.816,0,12/30/2024 12:54,0,A211
12/30/2024 13:35,2,2,1,1,1,1,1,1,1,1,1,12,0.333,0,0.133,12/30/2024 13:15,0,A211
12/30/2024 13:55,2,2,1,1,1,1,1,1,3,3,2,16,1,1.633,0.4,12/30/2024 13:35,0,A211
12/30/2024 14:15,3,2,3,3,1,1,1,1,3,3,3,21,1.833,3.674,0.733,12/30/2024 13:55,0,A211
12/30/2024 14:35,3,3,3,3,1,1,1,1,4,4,3,24,2.333,4.899,0.933,12/30/2024 14:15,0,A211
12/30/2024 14:55,4,4,3,4,1,1,1,1,3,3,3,25,2.5,5.307,1,12/30/2024 14:35,0,A211
12/30/2024 15:02,2,2,2,2,1,1,1,1,3,3,2,18,1.333,2.449,0.533,12/30/2024 14:55,1,A211
12/30/2024 15:22,2,2,2,2,1,1,1,1,2,2,2,16,1,1.633,0.4,12/30/2024 15:02,0,A211
12/30/2024 15:42,3,3,2,2,1,1,1,1,3,2,3,19,1.5,2.858,0.6,12/30/2024 15:22,0,A211
12/30/2024 16:02,3,3,2,2,1,1,1,1,3,3,3,20,1.667,3.266,0.667,12/30/2024 15:42,0,A211
12/30/2024 16:22,3,3,3,3,1,1,1,1,3,3,3,22,2,4.082,0.8,12/30/2024 16:02,0,A211
12/30/2024 16:42,3,3,3,3,1,1,1,1,3,3,3,22,2,4.082,0.8,12/30/2024 16:22,0,A211
12/30/2024 17:02,3,3,3,3,1,1,1,1,3,3,3,22,2,4.082,0.8,12/30/2024 16:42,0,A211
12/30/2024 17:08,2,2,1,1,1,1,1,1,2,2,2,14,0.667,0.816,0.267,12/30/2024 17:02,1,A211
12/30/2024 17:28,3,3,2,2,1,1,1,1,3,3,3,20,1.667,3.266,0.667,12/30/2024 17:08,0,A211
12/30/2024 17:48,3,3,3,3,1,1,1,1,3,3,3,22,2,4.082,0.8,12/30/2024 17:28,0,A211
12/30/2024 18:08,3,3,3,3,1,1,1,1,3,3,3,22,2,4.082,0.8,12/30/2024 17:48,0,A211
12/30/2024 18:28,3,3,3,3,1,1,1,1,3,3,3,22,2,4.082,0.8,12/30/2024 18:08,0,A211
12/30/2024 18:48,3,3,3,3,1,1,1,1,3,3,3,22,2,4.082,0.8,12/30/2024 18:28,0,A211
12/30/2024 19:08,3,3,3,3,1,1,1,1,3,3,3,22,2,4.082,0.8,12/30/2024 18:48,0,A211
12/28/2024 12:17,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,,0,A210
12/28/2024 12:37,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/28/2024 12:17,0,A210
12/28/2024 12:58,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/28/2024 12:37,0,A210
12/28/2024 13:17,1,1,1,1,1,1,1,1,1,1,1,10,0,0,0,12/28/2024 12:58,0,A210
12/28/2024 13:37,3,4,3,3,3,3,2,2,2,2,2,27,0.531,17,0.531,12/28/2024 13:17,0,A210
12/28/2024 13:57,4,5,3,3,4,4,2,2,2,2,4,31,0.656,21,0.656,12/28/2024 13:37,0,A210
12/28/2024 14:17,5,5,4,4,3,3,4,4,4,4,4,40,0.938,30,0.938,12/28/2024 13:57,0,A210
